white predicted elo, white actual elo, black predicted elo, black actual elo
641.0720261037777, 536.0, 662.6167117082013, 445.0
673.5365609714192, 1185.0, 687.2328240453311, 1168.0
1020.5189074709067, 1241.0, 1061.5123045511177, 1226.0
940.3213018827637, 814.0, 972.8257649618339, 738.0
495.330522667066, 445.0, 497.934492127251, 424.0
1712.6462116706487, 1857.0, 1621.4604862482329, 1913.0
1044.7818805787888, 945.0, 980.8080886855174, 849.0
2450.378360095612, 2443.0, 2694.9280802503395, 2302.0
2614.9362326007004, 2865.0, 2538.4778261394495, 2755.0
2749.7426488837045, 2598.0, 2651.1825904060815, 2646.0
1998.4676664353963, 1909.0, 2046.5585822364337, 1893.0
1372.26700207909, 1679.0, 1290.5803817577516, 1685.0
2838.829279003358, 2815.0, 2952.716574729444, 2944.0
1129.3025715631393, 1079.0, 1122.300253319004, 959.0
1591.3928090388827, 1606.0, 1630.7473843312307, 1626.0
2125.514010467338, 2205.0, 2148.5847238564947, 2193.0
1048.8626444504823, 1176.0, 975.6136095806356, 1256.0
1931.1184439269205, 1985.0, 1819.9973736791515, 1925.0
810.8700406478359, 1025.0, 904.0785097358838, 932.0
2736.6874324981804, 2810.0, 2824.353198049198, 2850.0
2027.3444325590322, 1779.0, 1969.7587546329112, 1760.0
2568.7284186244988, 2679.0, 2623.8104889831347, 2857.0
2652.7871924374167, 2378.0, 2624.148848649737, 2486.0
1368.5163628167265, 1543.0, 1326.8653638476003, 1546.0
2517.9015755819105, 2406.0, 2509.305777586882, 2314.0
1871.0251493539458, 1973.0, 1894.8728394054717, 1977.0
1922.8808300573871, 2247.0, 1776.4424202818038, 2106.0
2601.0865129817994, 2678.0, 2616.180318262709, 2999.0
2562.7176471188773, 2722.0, 2535.7190659719236, 2912.0
979.7616071584399, 1735.0, 1020.3355558280481, 1805.0
2955.6421275779035, 3005.0, 2948.695566334788, 2671.0
1682.0965305012767, 1915.0, 1633.986636894308, 1929.0
961.5162948674316, 855.0, 1100.4314696762474, 953.0
2187.23694952048, 2699.0, 2143.7489343530115, 2566.0
614.5151847658947, 669.0, 679.5180017167222, 633.0
2554.81344271691, 2633.0, 2554.2811583370735, 2528.0
2502.0078259241873, 2190.0, 2555.056857743556, 2125.0
1489.1746942993477, 1591.0, 1500.852760677919, 1547.0
2318.155821605644, 2693.0, 2461.935312725363, 2716.0
1918.0472274841093, 1649.0, 1893.0755290779578, 1626.0
1810.7464530443974, 1812.0, 1902.68762870073, 1806.0
2635.2887049103842, 2552.0, 2619.2431072707786, 2549.0
1629.1590208753407, 1596.0, 1374.4017548918127, 1677.0
2739.406915493984, 2527.0, 2682.08274881381, 2457.0
2955.4825221874858, 2929.0, 2889.6971536373576, 2860.0
566.9633295727307, 560.0, 517.1400673180318, 405.0
2638.6356348884206, 2374.0, 2680.10737935105, 2390.0
1456.0533831256346, 1500.0, 1380.4299716520982, 1488.0
831.8453053288026, 760.0, 807.6802155466773, 766.0
1835.602175486794, 1438.0, 1791.5681965278015, 1439.0
2734.460174909687, 2520.0, 2624.6932118772115, 2678.0
1476.353348718434, 1276.0, 1587.3289302309236, 1286.0
1919.4569383495148, 1772.0, 1941.8284200828473, 1832.0
1160.8942838961696, 1114.0, 1139.8233048569607, 1078.0
1017.6916386640318, 1049.0, 1039.7622588032855, 994.0
2133.995649297594, 2059.0, 2091.8742650031472, 2021.0
1525.178782097044, 1614.0, 1553.5130484855054, 1657.0
1316.467569950215, 1506.0, 1248.2167448488135, 1604.0
1330.7568060584758, 1479.0, 1406.3399824916735, 1348.0
1230.6654338336689, 925.0, 1225.2435198378441, 917.0
1499.2844277163726, 1937.0, 1420.4767628684128, 1947.0
695.9238885362109, 667.0, 653.8345643566499, 724.0
1195.8608966905035, 1561.0, 1322.777555134131, 1521.0
1043.0709785643164, 1137.0, 1028.450465999736, 1081.0
1930.321986825074, 1618.0, 1901.119778392452, 1621.0
2196.0765311693244, 2041.0, 2116.765966358401, 2117.0
1427.4550700188267, 1235.0, 1446.7797291343438, 1249.0
1655.8140447106791, 1779.0, 1644.655292912098, 1765.0
2876.0895253807544, 2926.0, 2825.0674404738456, 2926.0
1913.445932951291, 1926.0, 1914.3527185225744, 1921.0
2133.617967449111, 1713.0, 2038.5657685300898, 1724.0
1699.5270142565896, 1518.0, 1724.9139280022512, 1513.0
831.3753121315227, 538.0, 810.9678745251297, 400.0
2178.6544146026, 2006.0, 2179.6545246259075, 2021.0
2493.473641837168, 2299.0, 2468.425008384422, 2260.0
2254.315224886946, 2553.0, 2268.7062052408023, 2543.0
2199.938989928134, 2079.0, 2099.9411129569667, 2093.0
1456.2498474926408, 1778.0, 1359.2540501648753, 1731.0
2589.564882471918, 2593.0, 2559.8058169729434, 2591.0
527.4619493437839, 400.0, 554.5459310528266, 531.0
1732.4845847725553, 1746.0, 1792.639461231072, 1762.0
2320.914470125935, 2225.0, 2391.0352272089517, 2220.0
687.9779582081135, 578.0, 698.3820209604105, 524.0
1750.7290620973483, 1638.0, 1803.5710612079251, 1667.0
2103.3627797247077, 2103.0, 2098.5894633820967, 2091.0
2414.2801498457934, 2569.0, 2482.9171713744367, 2472.0
2662.463319620922, 2554.0, 2684.4559119291876, 2625.0
791.3688960910368, 662.0, 749.3010759790966, 716.0
2295.6026687940484, 1938.0, 2167.626268253674, 1971.0
2623.608008862579, 2763.0, 2648.5113961059765, 2847.0
2396.781277465761, 2765.0, 2462.3349696821724, 2705.0
2130.138594290352, 2669.0, 2397.562028878706, 2832.0
